Restaurant Name,Website,Email,Phone,Address,City,Status,Chatbot Detected,Sent_Status,Sent_Date
The Keg,https://thekeg.com/en/locations/yonge-eglinton,"Franchising@kegrestaurants.com, Legal@kegrestaurants.com, Managers@thekegniagarafalls.com, Marketing@thekeg.com, abbotsford@kegrestaurants.com, accessibility@thekeg.com, ajax@kegrestaurants.com, alberni@kegrestaurants.com, aoda@thekeg.com, arlington@kegrestaurants.com, aurora@kegrestaurants.com, banffcaribou@kegrestaurants.com, banffdowntown@kegrestaurants.com, barrie@kegrestaurants.com, birthdayprogram@thekeg.com, bobby.price@kegrestaurants.com, bobby.price@thekeg.com, bramalea@kegrestaurants.com, brampton@kegrestaurants.com, brandon@kegrestaurants.com, brantford@kegrestaurants.com, brighton@kegrestaurants.com, burlington@kegrestaurants.com, burnaby@kegrestaurants.com, bustere@kegrestaurants.com, calgary4thave@kegrestaurants.com, cambridge@kegrestaurants.com, cameron.powley@kegrestaurants.com, carlos.martinez@kegrestaurants.ca, carolynt@kegrestaurants.com, centrecrossing@kegrestaurants.com, chandler@kegrestaurants.com, christopher.hicks@kegrestaurants.ca, coloradomills@kegrestaurants.com, consommateur@st-hubert.com, coquitlam@kegrestaurants.com, crowfoot@kegrestaurants.com, dartmouth@kegrestaurants.com, desertridge@kegrestaurants.com, devonshire@kegrestaurants.com, dixonroad@thekeg.com, dunsmuir@kegrestaurants.com, employment@kegrestaurants.com, employment@thekeg.com, esplanade@kegrestaurants.com, estatedrive@kegrestaurants.com, fortmcmurray@kegrestaurants.com, fortstreet@kegrestaurants.com, franchising@kegrestaurants.com, garrystreet@kegrestaurants.com, garrystreet@thekeg.com, gcroteau75@hotmail.com, gi@kegrestaurants.com, giftcard@kegrestaurants.com, gilbert@kegrestaurants.com, glenno@kegrestaurants.com, grandeprairie@kegrestaurants.com, guelph@kegrestaurants.com, guestrelations@thekeg.com, halifax@kegrestaurants.com, hamiltonmountain@kegrestaurants.com, hazel.goh@kegrestaurants.com, hazel.goh@thekeg.com, heartland@kegrestaurants.com, humanresources@kegrestaurants.com, humanresources@thekeg.com, huntclub@kegrestaurants.com, investorrelations@kegrestaurants.com, investorrelatons@kegrestaurants.com, jason.butler@kegrestaurants.com, jason.butler@thekeg.com, jenn.anthony@kegrestaurants.com, jenn.anthony@thekeg.com, jeroen.vanderwolf@kegrestaurants.com, jimmy.dudomaine@thekeg.com, josh.bishop@kegrestaurants.com, kanata@kegrestaurants.com, keg@n21inc.com, kelowna@kegrestaurants.com, kingston@kegrestaurants.com, kingwest@kegrestaurants.com, langley@kegrestaurants.com, laval@kegrestaurants.com, lee.terreberry@kegrestaurants.com, lee.terreberry@thekeg.com, legal@kegrestaurants.com, lesliestreet@kegrestaurants.com, lethbridge@kegrestaurants.com, londonsouth@kegrestaurants.com, lynnwood@kegrestaurants.com, mactrail@kegrestaurants.com, manor@kegrestaurants.com, mansion@kegrestaurants.com, mapleridge@kegrestaurants.com, marketing@kegrestaurants.com, marketing@thekeg.com, marketmall@kegrestaurants.com, masonville@kegrestaurants.com, matt.murphy@kegrestaurants.com, matt.murphy@thekeg.com, medicinehat@kegrestaurants.com, michael.callihoo@kegrestaurants.ca, mississauga.north@kegrestaurants.com, moncton@kegrestaurants.com, morgan.lake@kegrestaurants.ca, morgancreek@kegrestaurants.com, newmarket@kegrestaurants.com, northyork@kegrestaurants.com, oakville@kegrestaurants.com, orovalley@kegrestaurants.com, oshawa@kegrestaurants.com, ottawa@kegrestaurants.com, parkroyal@kegrestaurants.com, parry.tascona@kegrestaurants.com, peterborough@kegrestaurants.com, pointeclaire@kegrestaurants.com, princegeorge@kegrestaurants.com, privacy.officer@kegrestaurants.com, prosati@fallsviewgroup.com, pvm@kegrestaurants.com, pvm@thekeg.com, reddeer@kegrestaurants.com, reginasouth@kegrestaurants.com, richmondhill@kegrestaurants.com, richmondsouth@kegrestaurants.com, riverside@kegrestaurants.com, saanich@kegrestaurants.com, saintbruno@kegrestaurants.com, scott.stephen@kegrestaurants.com, scottroad@kegrestaurants.com, shawnc@kegrestaurants.com, sherway@kegrestaurants.com, sherwoodpark@kegrestaurants.com, signalhill@thekeg.com, skyview@kegrestaurants.com, southcommon@kegrestaurants.com, southpointe@kegrestaurants.com, southside@kegrestaurants.com, squareone@kegrestaurants.com, st.johns@kegrestaurants.com, stcatharines@kegrestaurants.com, stjames@kegrestaurants.com, sudbury@kegrestaurants.com, tempe@kegrestaurants.com, thekeg@kegrestaurants.com, thunderbay@kegrestaurants.com, troyan.mason@kegrestaurants.com, vaughan@kegrestaurants.com, vieux.montreal@kegrestaurants.com, waterdown@kegrestaurants.com, waterloo@kegrestaurants.com, westedmonton@kegrestaurants.com, whistler@kegrestaurants.com, whistlergroups@kegrestaurants.com, windermere@kegrestaurants.com, woodbridge@kegrestaurants.com, yaletown@kegrestaurants.com, yonge.eglinton@kegrestaurants.com, yorkstreet@kegrestaurants.com",+1-416-484-4646,2201 Yonge Street,Toronto,No Chatbot (HOT PROSPECT),None,,
Dreyfus,https://dreyfustoronto.com/,info@dreyfustoronto.com,+1 416-323-1385,96 Harbord Street,Toronto,No Chatbot (HOT PROSPECT),None,,
Pancho y Emiliano,https://www.panchoyemiliano.com/,"0e6a29e4756740a8a63493e912ba2174@sentry.wixpress.com, 2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 8c4075d5481d476e945486754f783364@sentry.io, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, baf30a2b91654c5a840931f0137bed30@sentry.wixpress.com, e0b4d631da7b4200828051f7f9c783e3@sentry-next.wixpress.com, panchoandemiliano@gmail.com",N/A,N/A,GTA,No Chatbot (HOT PROSPECT),None,,
W Burger Bar,https://wburgerbar.com/,contact@sansoxygen.com,+1-416-961-2227,10 College Street,GTA,No Chatbot (HOT PROSPECT),None,,
Tosto,https://tostoquickfire.ca/,N/A,N/A,800 Bay Street,Toronto,No Chatbot (HOT PROSPECT),None,,
Estiatorio Volos,https://volos.ca/,user@domain.com,+1-416-861-1211,133 Richmond Street West,Toronto,No Chatbot (HOT PROSPECT),None,,
Eden Trattoria,https://www.edentrattoria.com/,eden@edentrattoria.com,+1-416-255-5588,N/A,GTA,No Chatbot (HOT PROSPECT),None,,
Little Anthony's,https://www.littleanthonys.ca/,info@littleanthonys.ca,+1-416-368-2223,121 Richmond Street West,Toronto,No Chatbot (HOT PROSPECT),None,,
Touhenboku Ramen,http://www.touhenboku.ca/,N/A,+1-416-596-8080,261 Queen Street West,GTA,No Chatbot (HOT PROSPECT),None,,
Paradiso,http://paradisorestaurant.com/,burlington@paradisorestaurant.com,N/A,125 Lakeshore Road East,Oakville,No Chatbot (HOT PROSPECT),None,,
El Pocho Antojitos Bar,https://elpocho.ca/,N/A,+1 416-551-8131,2 Follis Avenue,Toronto,Unreachable Website,N/A,,
Banjara Indian Cuisine,http://www.torontobanjara.com/,N/A,+1-416-963-9360,796 Bloor Street West,Toronto,Unreachable Website,N/A,,
Actinolite Restaurant,https://www.actinoliterestaurant.com/,"info@actinoliterestaurant.com, user@domain.com",+1-416-962-8943,971 Ossington Avenue,Toronto,No Chatbot (HOT PROSPECT),None,,
El Tenedor Restaurant Bar,https://tenedor.ca,N/A,+1 4374990975,909 Yonge Street,Toronto,No Chatbot (HOT PROSPECT),None,,
